x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Manos,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Piernas,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Pies,Psoriasis,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Rostro,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Cuello,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Axilas,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Pecho,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Brazos,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Espalda,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Hombros,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Manos,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Piernas,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Pies,Alopecias,,1 sesion,5 min,500,300,240,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Rostro,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Cuello,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Ariolas,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Axilas,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Pecho,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Abdomen,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Brazos,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Espalda,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Gluteos,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Hombros,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Manos - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Manos,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Piernas,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pies - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Pies,Alopecias,,1 sesion,15 min,800,600,480,,,
service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Rostro,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Cuello,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Ariolas,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Axilas,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Pecho,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Abdomen,Alopecias,,1 sesion,30 min,1200,1000,800,,,
service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Brazos,Alopecias,,1 sesion,30 min,1200,1000,800,,,
