idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
31,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
32,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 1,1 sesion,,1000.0,500.0,400,,,
33,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 2,1 sesion,,1500.0,1000.0,800,,,
34,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
35,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
36,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
37,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 1,1 sesion,,1000.0,500.0,400,,,
38,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 2,1 sesion,,1500.0,1000.0,800,,,
39,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
40,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
41,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
42,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 1,1 sesion,,1000.0,500.0,400,,,
43,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 2,1 sesion,,1500.0,1000.0,800,,,
44,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
45,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
46,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
47,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 1,1 sesion,,1000.0,500.0,400,,,
48,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 2,1 sesion,,1500.0,1000.0,800,,,
49,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 3,1 sesion,,2000.0,1500.0,1200,,,
50,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 4,1 sesion,,2500.0,2000.0,1600,,,
51,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 5,1 sesion,,3000.0,2500.0,2000,,,
52,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 1,1 sesion,,1000.0,500.0,400,,,
53,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Manchas,Grado 2,1 sesion,,1500.0,1000.0,800,,,
