idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
34,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Espalda,Vitiligo,-1,1 sesion,30 min,1200,1000,800,,,
35,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Vitiligo,-1,1 sesion,30 min,1200,1000,800,,,
36,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Hombros,Vitiligo,-1,1 sesion,30 min,1200,1000,800,,,
37,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Manos,Vitiligo,-1,1 sesion,30 min,1200,1000,800,,,
38,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Piernas,Vitiligo,-1,1 sesion,30 min,1200,1000,800,,,
39,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Vitiligo - 1 sesion - 30 min,LASER EXCILITE,Pies,Vitiligo,-1,1 sesion,30 min,1200,1000,800,,,
40,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Rostro,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
41,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Cuello,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
42,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
43,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Axilas,Psoriasis,-1,1 sesion,5 min,500,300,240,,,
