idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
33,service,laser,m22,,, - ,LASER M22 IPL - Cuello - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Cuello,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
34,service,laser,m22,,, - ,LASER M22 IPL - Ariolas - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Ariolas,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
35,service,laser,m22,,, - ,LASER M22 IPL - Axilas - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Axilas,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
36,service,laser,m22,,, - ,LASER M22 IPL - Pecho - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Pecho,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
37,service,laser,m22,,, - ,LASER M22 IPL - Abdomen - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Abdomen,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
38,service,laser,m22,,, - ,LASER M22 IPL - Brazos - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Brazos,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
39,service,laser,m22,,, - ,LASER M22 IPL - Espalda - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Espalda,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
40,service,laser,m22,,, - ,LASER M22 IPL - Gluteos - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Gluteos,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
41,service,laser,m22,,, - ,LASER M22 IPL - Hombros - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Hombros,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
42,service,laser,m22,,, - ,LASER M22 IPL - Manos - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Manos,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
43,service,laser,m22,,, - ,LASER M22 IPL - Piernas - Depilacion - 1 sesion - 30 min,LASER M22 IPL,Piernas,Depilacion,-1,1 sesion,30 min,1200,1000,800,,,
