idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
1,service,laser,quick,,1, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,-1,5000,3500,5200,,1500,6500
2,service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,-1,6000,4500,5600,,1250,7000
3,service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,-1,6500,5000,6000,,1250,7500
4,service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 1,1 sesion,-1,5000,3500,5200,,1500,6500
5,service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 2,1 sesion,-1,6000,4500,5600,,1250,7000
6,service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Manchas - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 3,1 sesion,-1,6500,5000,6000,,1250,7500
7,service,laser,quick,,, - ,QUICKLASER - Pomulos - Manchas - Grado 1 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 1,1 sesion,-1,3500,2500,3600,,1000,4500
8,service,laser,quick,,, - ,QUICKLASER - Pomulos - Manchas - Grado 2 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 2,1 sesion,-1,4000,3000,4000,,1000,5000
9,service,laser,quick,,, - ,QUICKLASER - Pomulos - Manchas - Grado 3 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 3,1 sesion,-1,4500,3500,4400,,1000,5500
10,service,laser,quick,,, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,3600,,1000,4500
11,service,laser,quick,,, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 2,1 sesion,-1,4000,3000,4000,,1000,5000
12,service,laser,quick,,, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 3,1 sesion,-1,4500,3500,4400,,1000,5500
13,service,laser,quick,,, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,3600,,1000,4500
14,service,laser,quick,,, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 2,1 sesion,-1,4000,3000,4000,,1000,5000
15,service,laser,quick,,, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 3,1 sesion,-1,4500,3500,4400,,1000,5500
16,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 1,1 sesion,-1,1000,500,1200,,500,1500
17,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 2,1 sesion,-1,1500,1000,2400,,1000,3000
18,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 3 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 3,1 sesion,-1,2000,1500,3600,,1500,4500
19,service,laser,quick,,, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 1 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 1,1 sesion,-1,2000,1500,3600,,1500,4500
20,service,laser,quick,,, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 2 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 2,1 sesion,-1,2500,2000,4800,,2000,6000
21,service,laser,quick,,, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 3 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 3,1 sesion,-1,3000,2500,6000,,2500,7500
22,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 2 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,2 min,1000,500,400,0,,
23,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 5 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,5 min,2000,1000,800,0,,
24,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 15 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,15 min,3000,2000,1600,0,,
25,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 30 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,1 sesion,30 min,4500,3500,2800,0,,
26,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 2 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,2 min,1000,500,400,0,,
27,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 5 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,5 min,2000,1000,800,0,,
28,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 15 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,15 min,3000,2000,1600,0,,
29,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 1 sesion - 30 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,1 sesion,30 min,4500,3500,2800,0,,
30,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 2 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,2 min,5000,2000,1600,400,,
31,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 5 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,5 min,10000,4000,3200,800,,
32,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 15 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,15 min,15000,7000,5600,1400,,
33,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 5 sesiones - 30 min,QUICKLASER,Localizado Rostro,Tatuaje,-1,5 sesiones,30 min,22500,9000,7200,1800,,
34,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 2 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,2 min,5000,2000,1600,400,,
35,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 5 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,5 min,10000,4000,3200,800,,
36,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 15 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,15 min,15000,7000,5600,1400,,
37,service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Lunares Congenitos - 5 sesiones - 30 min,QUICKLASER,Localizado Rostro,Lunares Congenitos,-1,5 sesiones,30 min,22500,9000,7200,1800,,
