idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
13,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 1,1 sesion,-1,3500,2500,2000,,,
14,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 2,1 sesion,-1,4000,3000,2400,,,
15,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 3,1 sesion,-1,4500,3500,2800,,,
16,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,2000,,,
17,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 2,1 sesion,-1,4000,3000,2400,,,
18,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 3,1 sesion,-1,4500,3500,2800,,,
19,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 1,1 sesion,-1,3500,2500,2000,,,
20,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 2,1 sesion,-1,4000,3000,2400,,,
21,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 3,1 sesion,-1,4500,3500,2800,,,
22,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 1,1 sesion,-1,1000,500,400,,,
23,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 2,1 sesion,-1,1500,1000,800,,,
24,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 3,1 sesion,-1,2000,1500,1200,,,
25,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 4,1 sesion,-1,2500,2000,1600,,,
26,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 5,1 sesion,-1,3000,2500,2000,,,
27,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 1,1 sesion,-1,1000,500,400,,,
28,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 2,1 sesion,-1,1500,1000,800,,,
29,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 3,1 sesion,-1,2000,1500,1200,,,
30,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 4,1 sesion,-1,2500,2000,1600,,,
31,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Queratosis - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Queratosis,Grado 5,1 sesion,-1,3000,2500,2000,,,
32,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 1,1 sesion,-1,1000,500,400,,,
33,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 2,1 sesion,-1,1500,1000,800,,,
34,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 3,1 sesion,-1,2000,1500,1200,,,
35,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 4,1 sesion,-1,2500,2000,1600,,,
36,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Lunar - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Lunar,Grado 5,1 sesion,-1,3000,2500,2000,,,
37,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 1,1 sesion,-1,1000,500,400,,,
38,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 2,1 sesion,-1,1500,1000,800,,,
39,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 3,1 sesion,-1,2000,1500,1200,,,
40,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 4,1 sesion,-1,2500,2000,1600,,,
41,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Quiste - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Quiste,Grado 5,1 sesion,-1,3000,2500,2000,,,
42,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 1,1 sesion,-1,1000,500,400,,,
43,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 2,1 sesion,-1,1500,1000,800,,,
44,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 3,1 sesion,-1,2000,1500,1200,,,
45,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 4,1 sesion,-1,2500,2000,1600,,,
46,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Verruga - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Verruga,Grado 5,1 sesion,-1,3000,2500,2000,,,
47,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 1,1 sesion,-1,1000,500,400,,,
48,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 2,1 sesion,-1,1500,1000,800,,,
49,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 3,1 sesion,-1,2000,1500,1200,,,
50,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 4,1 sesion,-1,2500,2000,1600,,,
51,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Rostro - Cicatriz - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Cicatriz,Grado 5,1 sesion,-1,3000,2500,2000,,,
